ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
11315,HUMAN_OBSERVATION,CLO,,2016,10,30,-33.897705,151.23415,Threskiornis moluccus,ibis
11320,HUMAN_OBSERVATION,CLO,,2016,1,11,-34.01526,151.1253,Threskiornis moluccus,ibis
11367,HUMAN_OBSERVATION,CLO,,2016,1,24,-33.837475,151.07405,Threskiornis moluccus,ibis
11413,HUMAN_OBSERVATION,CLO,,2016,4,25,-33.93151,151.24788,Threskiornis moluccus,ibis
11431,HUMAN_OBSERVATION,CLO,,2016,9,9,-33.8434,151.07068,Threskiornis moluccus,ibis
11449,HUMAN_OBSERVATION,CLO,,2016,12,3,-33.86268,151.12372,Threskiornis moluccus,ibis
11451,HUMAN_OBSERVATION,CLO,,2016,1,1,-33.932674,151.15665,Threskiornis moluccus,ibis
11486,HUMAN_OBSERVATION,CLO,,2016,12,19,-34.002823,151.13625,Threskiornis moluccus,ibis
11490,HUMAN_OBSERVATION,CLO,,2016,6,30,-33.89745,151.16095,Threskiornis moluccus,ibis
11510,HUMAN_OBSERVATION,CLO,,2016,12,18,-33.937805,151.20569,Threskiornis moluccus,ibis
11548,HUMAN_OBSERVATION,CLO,,2016,9,30,-33.863895,151.21675,Threskiornis moluccus,ibis
11600,HUMAN_OBSERVATION,CLO,,2016,7,21,-33.94583,151.15388,Threskiornis moluccus,ibis
11620,HUMAN_OBSERVATION,CLO,,2016,10,2,-34.076572,150.80339,Threskiornis moluccus,ibis
11642,HUMAN_OBSERVATION,CLO,,2016,1,10,-33.96307,151.14543,Threskiornis moluccus,ibis
11703,HUMAN_OBSERVATION,CLO,,2016,3,4,-33.8449,151.07755,Threskiornis moluccus,ibis
11706,HUMAN_OBSERVATION,CLO,,2016,10,20,-34.047966,150.98415,Threskiornis moluccus,ibis
11717,HUMAN_OBSERVATION,CLO,,2016,7,4,-33.94583,151.15388,Threskiornis moluccus,ibis
11722,HUMAN_OBSERVATION,CLO,,2016,10,5,-33.925255,151.25827,Threskiornis moluccus,ibis
11728,HUMAN_OBSERVATION,CLO,,2016,10,16,-33.78351,151.2774,Threskiornis moluccus,ibis
11759,HUMAN_OBSERVATION,CLO,,2016,10,12,-33.937805,151.20569,Threskiornis moluccus,ibis
11792,HUMAN_OBSERVATION,CLO,,2016,10,13,-33.94583,151.15388,Threskiornis moluccus,ibis
11800,HUMAN_OBSERVATION,CLO,,2016,12,18,-33.859493,151.21616,Threskiornis moluccus,ibis
11813,HUMAN_OBSERVATION,CLO,,2016,1,10,-33.94583,151.15388,Threskiornis moluccus,ibis
11823,HUMAN_OBSERVATION,CLO,,2016,12,6,-33.980488,151.06235,Threskiornis moluccus,ibis
11833,HUMAN_OBSERVATION,CLO,,2016,7,27,-34.07,150.77078,Threskiornis moluccus,ibis
11838,HUMAN_OBSERVATION,CLO,,2016,4,12,-33.56385,150.83258,Threskiornis moluccus,ibis
11848,HUMAN_OBSERVATION,CLO,,2016,1,2,-33.89813,151.23224,Threskiornis moluccus,ibis
11890,HUMAN_OBSERVATION,CLO,,2016,12,12,-33.831673,151.07599,Threskiornis moluccus,ibis
11964,HUMAN_OBSERVATION,CLO,,2016,7,22,-33.94583,151.15388,Threskiornis moluccus,ibis
11973,HUMAN_OBSERVATION,CLO,,2016,7,14,-33.94583,151.15388,Threskiornis moluccus,ibis
12001,HUMAN_OBSERVATION,CLO,,2016,7,24,-34.07,150.77078,Threskiornis moluccus,ibis
12006,HUMAN_OBSERVATION,CLO,,2016,4,6,-33.844044,151.07866,Threskiornis moluccus,ibis
12010,HUMAN_OBSERVATION,CLO,,2016,4,10,-33.5896,150.8555,Threskiornis moluccus,ibis
12016,HUMAN_OBSERVATION,CLO,,2016,10,8,-33.92394,150.96931,Threskiornis moluccus,ibis
12049,HUMAN_OBSERVATION,CLO,,2016,9,28,-33.693653,151.29266,Threskiornis moluccus,ibis
12061,HUMAN_OBSERVATION,CLO,,2016,4,28,-33.5896,150.8555,Threskiornis moluccus,ibis
12067,HUMAN_OBSERVATION,CLO,,2016,4,23,-33.828503,151.06355,Threskiornis moluccus,ibis
12073,HUMAN_OBSERVATION,CLO,,2016,6,23,-33.863895,151.21675,Threskiornis moluccus,ibis
12074,HUMAN_OBSERVATION,CLO,,2016,1,10,-33.86129,151.09909,Threskiornis moluccus,ibis
12083,HUMAN_OBSERVATION,CLO,,2016,1,26,-33.96307,151.14543,Threskiornis moluccus,ibis
12101,HUMAN_OBSERVATION,CLO,,2016,6,28,-33.949734,150.97891,Threskiornis moluccus,ibis
12124,HUMAN_OBSERVATION,CLO,,2016,9,23,-34.002823,151.13625,Threskiornis moluccus,ibis
12138,HUMAN_OBSERVATION,CLO,,2016,10,27,-34.08317,151.04913,Threskiornis moluccus,ibis
12149,HUMAN_OBSERVATION,CLO,,2016,4,11,-33.94583,151.15388,Threskiornis moluccus,ibis
12163,HUMAN_OBSERVATION,CLO,,2016,1,3,-33.89813,151.23224,Threskiornis moluccus,ibis
12177,HUMAN_OBSERVATION,CLO,,2016,10,13,-33.937984,151.13922,Threskiornis moluccus,ibis
12194,HUMAN_OBSERVATION,CLO,,2016,10,10,-33.897705,151.23415,Threskiornis moluccus,ibis
12201,HUMAN_OBSERVATION,CLO,,2016,10,31,-33.897705,151.23415,Threskiornis moluccus,ibis
12208,HUMAN_OBSERVATION,CLO,,2016,7,30,-33.5896,150.8555,Threskiornis moluccus,ibis
12215,HUMAN_OBSERVATION,CLO,,2016,10,2,-33.897705,151.23415,Threskiornis moluccus,ibis
12217,HUMAN_OBSERVATION,CLO,,2016,1,19,-33.897705,151.23415,Threskiornis moluccus,ibis
12222,HUMAN_OBSERVATION,CLO,,2016,7,15,-33.94583,151.15388,Threskiornis moluccus,ibis
12231,HUMAN_OBSERVATION,CLO,,2016,4,2,-33.897705,151.23415,Threskiornis moluccus,ibis
12243,HUMAN_OBSERVATION,CLO,,2016,12,3,-34.002823,151.13625,Threskiornis moluccus,ibis
12250,HUMAN_OBSERVATION,CLO,,2016,1,24,-33.87469,151.21187,Threskiornis moluccus,ibis
12273,HUMAN_OBSERVATION,CLO,,2016,1,3,-33.897705,151.23415,Threskiornis moluccus,ibis
12279,HUMAN_OBSERVATION,CLO,,2016,1,14,-33.859802,151.20836,Threskiornis moluccus,ibis
12288,HUMAN_OBSERVATION,CLO,,2016,10,31,-33.897705,151.23415,Threskiornis moluccus,ibis
12291,HUMAN_OBSERVATION,CLO,,2016,6,11,-34.003685,151.13591,Threskiornis moluccus,ibis
12328,HUMAN_OBSERVATION,CLO,,2016,1,4,-33.897705,151.23415,Threskiornis moluccus,ibis
12367,HUMAN_OBSERVATION,CLO,,2016,10,21,-33.56878,150.75809,Threskiornis moluccus,ibis
12393,HUMAN_OBSERVATION,CLO,,2016,10,18,-33.93151,151.24788,Threskiornis moluccus,ibis
12400,HUMAN_OBSERVATION,CLO,,2016,4,7,-33.93151,151.24788,Threskiornis moluccus,ibis
12401,HUMAN_OBSERVATION,CLO,,2016,9,12,-33.984707,151.06532,Threskiornis moluccus,ibis
12420,HUMAN_OBSERVATION,CLO,,2016,4,8,-33.93151,151.24788,Threskiornis moluccus,ibis
12422,HUMAN_OBSERVATION,CLO,,2016,10,22,-33.94583,151.15388,Threskiornis moluccus,ibis
12428,HUMAN_OBSERVATION,CLO,,2016,9,25,-33.984707,151.06532,Threskiornis moluccus,ibis
